stake_address,payment_address,reward
stake1uxljr3kpj26vs0sxld47h8qk8efnxzl6l5lr6fj03g4h6eqfxnjcz, addr1q93sp7ntgweq3n9sh60udxv0t2kwuss78u0ad709flljd4dly8rvry45eqlqd7mtawwpv0jnxv9l4lf785nylz3t04jqv39cay,337
stake1u8rwkq6z50q9j0n57gh5cqen34yyptuupcg4fmuwg4nuv3gm2ryp8, addr1qxvasc5jdrgtj67rcgq8r8vnsmpy0mplhgen6g5fgc44pt7xavp59g7qtyl8fu30fspn8r2ggzhecrs32nhcu3t8cezsr37ruy,330
stake1uyu3acml4jjqnelsfzp2lffv48x2u6s0lskr02qjn75g9ecn5put2, addr1qymugretc0583jhyk72kpxqx96j8gxkwvmxj2r6nue7aaueerm3hlt9yp8nlqjyz47jje2wv4e4qllpvx75p98agstnslv9lkj,329
stake1uxy8w3rveeyuasz0hpqrkmpz4khvakctq8tsgrgxses4xhgjrtkr6, addr1qyjct37tueq0807h2s5mexhqn4k0vdqylxlap9vux4slqjugwazxenjfemqylwzq8dkz9tdwemdskqwhqsxsdpnp2dwsk082u2,324
stake1u8zyy2z2tcta8qt3f5ajahzdd4lpu20pfdfntul40hq3rpg9uqdad, addr1qyunu3q833wq2d2zztk0k3wws6um8344el2ackv2y7n4d0xygg5y5hsh6wqhznfm9mwy6mt7rc57zj6nxhel2lwpzxzsx7798d,323
stake1u9dqy6gyduyvsakggnvcdp3zt9f5z6dthtywpaps4mwsu9celk03t, addr1q94vner7kzwlgpguvp3z0p9pt7h8slqmsftdhakh4qwmx926qf5sgmcgepmvs3xes6rzyk2ng956hwkgur6rptkapcts44f6e8,319
stake1u97plrpvekl6nu62cdfcaw47e2z9xyt4kq324qj3yulu00s3u3mp2, addr1qxcr2d0xy34zthumdjx5lhghmzapxjhywzpqf4jskhmjkqtur7xzendl48e54s6n36ataj5y2vghtvpz42p9zfelc7lqdj2hql,317
stake1uxlrq90uw9rqr94390rch2rwahcnacw2pnr5ug7j2pyuhwcccpcv3, addr1q9ha5k50jlq76ha86jmuc4kugz3q6rtsn42qr5ukpka3ac47xq2lcu2xqxttz2783w5xam038msu5rx8fc3ay5zfewas7pjqa8,317
stake1u8x9p6nt8zhng9q0aha93a5z5rp4djlqmzule6g8k35lk6stk2qme, addr1qyfswjysjj98km0dq6xfuyqdq93g9fzlaslja6jaas0dwnkv2r4xkw90xs2qlm06trmg9gxr2m97pk9eln5s0drfld4qfjsts8,316
stake1uyv3nue4tp5d33sg99ln9qwcxkwhsrkjds7sztzl09v6q2s7qyx5p, addr1qyasjdd53e6ua0e7fgjhavuvgcqdunfn5hsw7m7rfe55dtger8en2krgmrrqs2tlx2qasdva0q8dympaqyk9772e5q4q5d7a8r,313
stake1u9ulpq8s6n0xcf52xw8427wp9qjxs5xs8t5g8v9a8u2qefgaqn897, addr1qy2yfss3cncqvkamastu5hma56ey63yymx20j0q9rvl3qvre7zq0p4x7dsng5vu024uuz2pydpgdqwhgswct60c5pjjs9vhp2x,310
stake1uxpzauu3huas9nt4mgqz2025u9xjxkmsn6qcr6qghrtd29cad98t2, addr1q9qxlpecpx0u6a2arwtr5ygyxu9qfgnq3jhda4e7nz3tsdvz9meer0emqtxhtksqy574fc2dyddhp85ps85q3wxk65tsv5n2gc,309
stake1u98449ew7wqqe6wpfur2psk9pdenjrrlqumah7vhz5nq7dsq8d57q, addr1qxmufd90txvgapwv5tpkrjdz8746ythymu4rp3nj8na5rtz0t2tjauuqpn5uzncx5rpv2zmn8yx87pehm0uew9fxpumqa84uz7,309
stake1u88e8s3zvym7p6q6ckpanu8dq0gd5rl7apeuud7zatsa5cgmpwyvv, addr1q9vdxgpp3x7vec2uj6kgyp4shj79y8n6ufjvxjxkcndwhwx0j0pzycfhur5p43vrm8cw6q7smg8la6rnecmu96hpmfsst2mczn,308
stake1uydyez5hd88c3acd70jlkmsg3ctwzuwtv2kx3lz3z9dz5jsq6turv, addr1qx5yt66hz0n5u43fh3uq9zv2d73pg2vsr8j9zn2z0t453zs6fj9fw6w03rmsmul9ldhq3rsku9cukc4vdr79zy269f9q4c5vha,308
stake1u9fcqajwhfe4kycaanpshpnlxpjqdqe7tu3nwfvflxj6umqpghrkp, addr1qyp086sxlfnmyyyrgfls5jwqv89ze4xm9wrf27tn6ud20mznspmyawnntvf3mmxrpwr87vryq6pnuherxujcn7d94ekqa9z3zu,301
stake1uxhkme25a6jk7rs048glxcz4kyct6jg23wr6pmn3k0sw8tq24ft6p, addr1q9le508p55wy7h6m8elkmgrck3pu82ndkcl3l970d7emll90dhj4fm49du8ql2w37ds9tvfsh4ys4zu85rh8rvlquwkqxfyuaz,298
stake1uyslns7gjf9yv9a5789r5anal027raesgs9lpukjyzu2vkc0xwhft, addr1q83g3jvk3e8qyxjhjwearlsc8tsty09s9qsq7mtl5xp8wsppl8pu3yj2gctmfuw28fm8m774u8mnq3qt7redyg9c5edscg7qfj,296
stake1u85mrvkwpyt7nytr8cjcvdzv762g5mkvhmvle4ftw2ww8ccnnk4ky, addr1q8k2upugxlqczph9755dlxtfpejg2ufqnlcf4ntp6tgu7m8fkxevuzghaxgkx039sc6yea553fhve0keln2jku5uu03swlusc7,296
stake1u8feheal0d9w78328p46p6z6k3mxqgc8s76y4pjt5rtesgs7zsnrz, addr1q8vfpg6gtjrdt8er2dklqnd9pz88hv8uqn5ev97zn8k0d97nn0nm7762au0z5wrt5r594drkvq3s0pa5f2ryhgxhnq3qv4n9rf,295
stake1u8gjrexpa5y9g5rltsvgz27qzz9z3cyjn46l7h04ztp67xq70466d, addr1qxjzqujsz9wfmlrl3xj34pk4npcmy857dxfqt8n9suaqzyw3y8jvrmgg23g87hqcsy4uqyy29rsf98t4lawl2ykr4uvqu44q5j,294
stake1u9hq688k80r42qzx8hahlywajypjv53py524lf0clsfa0fqpdxrnu, addr1q9pwr05arw3ay68pdxsn3x5recxr979g08cxd7pg6d6n2rrwp5w0vw7825qyv00m07gamygryefzzfg4t7jl3lqn67jqrjegkv,288
stake1uyrl9g3lyg75g4vpk9j5ltf0rrswmt0g4cn8f74a9gnt5cqwthvjj, addr1qy0wx56xy47v89mupl0dmyjlxlpakf5gadkz48y8ycvllyc8723r7g3ag32crvt9f7kj7x8qakk73t3xwnat623xhfsq66hukv,269
stake1uxvy02dy65skf5yq98rz7ppfjh4ww68hm0shxfmulte0fnq97dkka, addr1q9cw8l89ne9ke7z5hs5txwffylx2d7ewceephyqfk6h7f0vcg756f4fpvnggq2wx9uzzn902ua500klpwvnhe7hj7nxq9pvppa,269
stake1uy2299gwgst807qft30eyrqhsv097v0rn0uack8kwy6s0ksgm93h5, addr1qy95su98wzvjmnvh2y59ljrs3fj88pt53u0peaxx0sgjprs5522su3qkwluqjhzljgxp0qc7tuc78xlem3v0vuf4qldqfkwlq6,267
stake1uyezcuffq8sardfcumhfyfnj3g64zlh3xeq383dde4wc9cqnnsf6d, addr1q9j6cv95vgaghrk7flalpawpdcwf6f7pxuanz4tqud64qsfj93cjjq0p6x6n3ehwjgn89z3429l0zdjpz0z6mn2astsq556ahw,265
stake1u8r0kqrq9x7g848n5e5tsmc3mcxrpqga33ldkr3v30gadyqa9tj4n, addr1q84m7wr8rrns34x3vlt2847t74xf9vmeql5h8q8pcmd320xxlvqxq2dus0208fnghph3rhsvxzq3mrr7mv8zez7366gq9ceg2s,263
stake1u8angf78utz026e42gh8ud847ye7zsuryk5kdayrw6nkz8sx0dxx7, addr1qyp8rws4yxutlgxu4nkqucq346t5zw8kfxg5w9laxtuqzmlmxsnu0cky744n253w0c60tufnu9pcxfdfvm6gxa48vy0qm9xguv,261
stake1uyfznddzwxkaavhkweld4u2dlngggmah0gsl3jszxhaff0shy9xrj, addr1qxyxu6l09sp2wkf22k5cj2yd2vwka3s02d2vj9wt5xes5mgj9x66yuddm6e0van7mtc5mlxss3hmw73plr9qyd06jjlqhq3flg,260
stake1uyrd4ahg0pkkmaqzfze90ryveup5pl4sl72kjyzhevjzmms73ht3y, addr1q972q79kw5w5lyhnaafg9e3jjtlua900pgcufhteecxj02sxmtmws7rddh6qyj9j27xgencrgrltplu4dyg90jey9hhqhq6lze,260
stake1uyxpelkrf0updlyx3n4h5rh9zpsd70su6s99v8fv85jkm2quhntv8, addr1qyrf44m3lduwxscqg2ftw6x6uhf760nxakcmh8esnalxe3svrnlvxjlczm7gdr8t0g8w2yrqmulpe4q22cwjc0f9dk5qe8wxhl,256
stake1u9rfyvw5pkeherf56lzxjaqlpxs53fjghl4ft6w2x8wpnwchfeam3, addr1q89d2xxtm42sdzvlxm9cx7m37t37ydanp5p220fydvhm0xjxjgcagrdn0jxnf47yd96p7zdpfzny30l2jh5u5vwurxas8c9k7p,255
stake1u834kzzlrg356pah2ph5uc205284t93gvv8mn55vwy2r3aqgwjv3v, addr1q9nndk6vv0qpcdan4js9vx8pnwu5aa5ax8awkk8eyqcy7l8rtvy97x3rf5rmw5r0fes5lg502ktzscc0h8fgcug58r6q2fu6qe,254
